id,constituency,county,region,country,Conservative Party,Liberal Democrats,Labour 
E14000844,NORTH EAST HAMPSHIRE,Hampshire,South East,England,0.66,0.12,0.17
E14000845,NORTH EAST HERTFORDSHIRE,Hertfordshire,Eastern,England,0.59,0.08,0.28
E14000846,NORTH EAST SOMERSET,Avon,South West,England,0.54,0.08,0.35
E14000847,NORTH HEREFORDSHIRE,Hereford and Worcester,West Midlands,England,0.62,0.12,0.19
E14000848,NORTH NORFOLK,Norfolk,Eastern,England,0.42,0.48,0.10
E14000849,NORTH SHROPSHIRE,Shropshire,West Midlands,England,0.61,0.05,0.31
E14000850,NORTH SOMERSET,Avon,South West,England,0.54,0.10,0.27
E14000851,NORTH SWINDON,Wiltshire,South West,England,0.54,0.04,0.38
E14000852,NORTH THANET,Kent,South East,England,0.56,0.03,0.34
E14000853,NORTH TYNESIDE,Tyne and Wear,North East,England,0.27,0.03,0.64
E14000854,NORTH WARWICKSHIRE,Warwickshire,West Midlands,England,0.57,0.02,0.39
E14000855,NORTH WEST CAMBRIDGESHIRE,Cambridgeshire,Eastern,England,0.59,0.05,0.31
E14000856,NORTH WEST DURHAM,Durham,North East,England,0.34,0.07,0.53
E14000857,NORTH WEST HAMPSHIRE,Hampshire,South East,England,0.62,0.10,0.23
E14000858,NORTH WEST LEICESTERSHIRE,Leicestershire,East Midlands,England,0.58,0.06,0.33
E14000859,NORTH WEST NORFOLK,Norfolk,Eastern,England,0.60,0.03,0.32
E14000860,NORTH WILTSHIRE,Wiltshire,South West,England,0.60,0.18,0.18
E14000861,NORTHAMPTON NORTH,Northamptonshire,East Midlands,England,0.47,0.03,0.45
E14000862,NORTHAMPTON SOUTH,Northamptonshire,East Midlands,England,0.47,0.03,0.44
E14000863,NORWICH NORTH,Norfolk,Eastern,England,0.48,0.03,0.47
